Complex_Name,Protein,Ligand,Delta_G (kcal/mol),Closest_Cys_ID,Distance_to_CHO (A)
A3_55_Ethanol,A3.pdb,55_Ethanol.sdf,-5.45,314,3.298
A5_28_Phenylacetaldehyde,A5.pdb,28_Phenylacetaldehyde.sdf,-5.45,86,6.79
A5_35_Cinnamaldehyde,A5.pdb,35_Cinnamaldehyde.sdf,-5.45,86,7.166
A4_42_Glutamate-5-semialdehyde,A4.pdb,42_Glutamate-5-semialdehyde.sdf,-5.45,319,2.838
A5_17_nonanal,A5.pdb,17_nonanal.sdf,-5.44,86,6.627
A7_47_methylmalonate semialdehyde,A7.pdb,47_methylmalonate semialdehyde.sdf,-5.44,319,2.91
A5_4_malonaldehyde,A5.pdb,4_malonaldehyde.sdf,-5.44,86,4.697
A4_55_Ethanol,A4.pdb,55_Ethanol.sdf,-5.44,319,3.343
A4_20_Citral,A4.pdb,20_Citral.sdf,-5.44,319,4.246
A5_7_glutaraldehyde,A5.pdb,7_glutaraldehyde.sdf,-5.44,86,5.058
A2_45_adipate semialdehyde,A2.pdb,45_adipate semialdehyde.sdf,-5.44,282,3.222
A5_5_butyraldehyde,A5.pdb,5_butyraldehyde.sdf,-5.44,86,8.207
A4_9_2-hydroxypropionaldehyde,A4.pdb,9_2-hydroxypropionaldehyde.sdf,-5.44,319,2.309
A5_15_heptanal,A5.pdb,15_heptanal.sdf,-5.44,86,7.65
A4_29_Salicylaldehyde,A4.pdb,29_Salicylaldehyde.sdf,-5.44,319,3.537
A4_2_acetaldehyde,A4.pdb,2_acetaldehyde.sdf,-5.44,319,2.141
A3_47_methylmalonate semialdehyde,A3.pdb,47_methylmalonate semialdehyde.sdf,-5.44,314,3.596
A3_11_prop-2-enal,A3.pdb,11_prop-2-enal.sdf,-5.44,314,2.768
A3_9_2-hydroxypropionaldehyde,A3.pdb,9_2-hydroxypropionaldehyde.sdf,-5.44,314,2.577
A4_36_3-(4-Isopropylphenyl)-2-methylpropanal,A4.pdb,36_3-(4-Isopropylphenyl)-2-methylpropanal.sdf,-5.44,319,3.196
A5_27_Benzaldehyde,A5.pdb,27_Benzaldehyde.sdf,-5.44,86,7.476
A3_4_malonaldehyde,A3.pdb,4_malonaldehyde.sdf,-5.44,314,2.904
A3_25_hexadecanal,A3.pdb,25_hexadecanal.sdf,-5.44,313,6.435
A5_47_methylmalonate semialdehyde,A5.pdb,47_methylmalonate semialdehyde.sdf,-5.44,86,5.128
"A4_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A4.pdb,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde.sdf",-5.44,319,7.67
A7_2_acetaldehyde,A7.pdb,2_acetaldehyde.sdf,-5.44,319,3.085
A4_47_methylmalonate semialdehyde,A4.pdb,47_methylmalonate semialdehyde.sdf,-5.44,319,2.627
A4_46_Succinic semialdehyde,A4.pdb,46_Succinic semialdehyde.sdf,-5.44,319,1.958
A5_2_acetaldehyde,A5.pdb,2_acetaldehyde.sdf,-5.44,86,4.141
A5_36_3-(4-Isopropylphenyl)-2-methylpropanal,A5.pdb,36_3-(4-Isopropylphenyl)-2-methylpropanal.sdf,-5.44,86,5.845
A3_3_propylaldehyde,A3.pdb,3_propylaldehyde.sdf,-5.44,314,3.271
A3_44_glutarate semialdehyde,A3.pdb,44_glutarate semialdehyde.sdf,-5.44,314,2.871
A1_47_methylmalonate semialdehyde,A1.pdb,47_methylmalonate semialdehyde.sdf,-5.44,303,3.228
A1_45_adipate semialdehyde,A1.pdb,45_adipate semialdehyde.sdf,-5.44,303,3.75
A7_3_propylaldehyde,A7.pdb,3_propylaldehyde.sdf,-5.44,319,3.054
A1_24_Tetradecanal,A1.pdb,24_Tetradecanal.sdf,-5.44,303,16.51
A7_4_malonaldehyde,A7.pdb,4_malonaldehyde.sdf,-5.43,319,2.978
A7_51_6R-Tetrahydrofolic acid,A7.pdb,51_6R-Tetrahydrofolic acid.sdf,-5.43,318,4.624
A3_26_trans-2-hexadecenal,A3.pdb,26_trans-2-hexadecenal.sdf,-5.43,313,5.693
A5_45_adipate semialdehyde,A5.pdb,45_adipate semialdehyde.sdf,-5.43,86,5.629
A5_46_Succinic semialdehyde,A5.pdb,46_Succinic semialdehyde.sdf,-5.43,86,5.619
A2_27_Benzaldehyde,A2.pdb,27_Benzaldehyde.sdf,-5.43,282,3.559
A1_6_amylaldehyde,A1.pdb,6_amylaldehyde.sdf,-5.43,303,4.274
A1_9_2-hydroxypropionaldehyde,A1.pdb,9_2-hydroxypropionaldehyde.sdf,-5.43,303,2.818
A2_24_Tetradecanal,A2.pdb,24_Tetradecanal.sdf,-5.43,281,6.095
A4_48_alpha-aminoadipate semialdehyde,A4.pdb,48_alpha-aminoadipate semialdehyde.sdf,-5.43,318,4.098
"A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A1.pdb,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde.sdf",-5.43,303,7.058
A2_2_acetaldehyde,A2.pdb,2_acetaldehyde.sdf,-5.43,282,3.199
A5_8_hexanal,A5.pdb,8_hexanal.sdf,-5.43,86,7.27
A5_13_(2E)-but-2-enal,A5.pdb,13_(2E)-but-2-enal.sdf,-5.43,86,5.098
