Complex_Name,Protein,Ligand,Delta_G (kcal/mol),Closest_Cys_ID,Distance_to_CHO (A)
"A7_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A7.pdb,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal.sdf",-5.39,318,3.163
A7_22_trans-2-Octenal,A7.pdb,22_trans-2-Octenal.sdf,-5.39,318,5.036
A5_23_4-Hydroxynonenal,A5.pdb,23_4-Hydroxynonenal.sdf,-5.39,86,5.737
A4_10_4-guanidinobutyraldehyde,A4.pdb,10_4-guanidinobutyraldehyde.sdf,-5.39,318,3.524
A4_14_trans-2-Hexenal,A4.pdb,14_trans-2-Hexenal.sdf,-5.39,318,4.951
A6_21_cis-2-Octenal,A6.pdb,21_cis-2-Octenal.sdf,-5.39,466,2.71
A7_23_4-Hydroxynonenal,A7.pdb,23_4-Hydroxynonenal.sdf,-5.39,318,3.558
A2_15_heptanal,A2.pdb,15_heptanal.sdf,-5.39,282,4.521
A7_28_Phenylacetaldehyde,A7.pdb,28_Phenylacetaldehyde.sdf,-5.39,318,3.744
A1_22_trans-2-Octenal,A1.pdb,22_trans-2-Octenal.sdf,-5.39,302,5.541
A1_15_heptanal,A1.pdb,15_heptanal.sdf,-5.39,163,16.597
A4_23_4-Hydroxynonenal,A4.pdb,23_4-Hydroxynonenal.sdf,-5.39,318,4.562
"A4_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A4.pdb,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal.sdf",-5.39,318,3.941
A5_19_dodecanal,A5.pdb,19_dodecanal.sdf,-5.39,86,5.427
A5_21_cis-2-Octenal,A5.pdb,21_cis-2-Octenal.sdf,-5.39,86,8.274
A6_3_propylaldehyde,A6.pdb,3_propylaldehyde.sdf,-5.39,466,3.186
A6_40_Furan-2-carbaldehyde,A6.pdb,40_Furan-2-carbaldehyde.sdf,-5.39,421,11.672
A5_57_S-3-oxopropylglutathione,A5.pdb,57_S-3-oxopropylglutathione.sdf,-5.39,86,6.12
A6_44_glutarate semialdehyde,A6.pdb,44_glutarate semialdehyde.sdf,-5.39,466,6.281
A1_59_4-Hydroxynonenal_glutathione,A1.pdb,59_4-Hydroxynonenal_glutathione.sdf,-5.39,456,7.953
A1_52_Triose phosphate,A1.pdb,52_Triose phosphate.sdf,-5.39,303,10.799
A1_34_4-hydroxy-2-nonenal,A1.pdb,34_4-hydroxy-2-nonenal.sdf,-5.39,302,4.912
"A2_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A2.pdb,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde.sdf",-5.39,282,3.506
A7_44_glutarate semialdehyde,A7.pdb,44_glutarate semialdehyde.sdf,-5.39,318,3.066
A6_45_adipate semialdehyde,A6.pdb,45_adipate semialdehyde.sdf,-5.39,466,6.745
A1_19_dodecanal,A1.pdb,19_dodecanal.sdf,-5.39,302,4.964
A7_34_4-hydroxy-2-nonenal,A7.pdb,34_4-hydroxy-2-nonenal.sdf,-5.39,318,3.691
A7_19_dodecanal,A7.pdb,19_dodecanal.sdf,-5.39,318,4.612
A1_36_3-(4-Isopropylphenyl)-2-methylpropanal,A1.pdb,36_3-(4-Isopropylphenyl)-2-methylpropanal.sdf,-5.39,303,4.53
A3_15_heptanal,A3.pdb,15_heptanal.sdf,-5.39,313,5.057
A2_34_4-hydroxy-2-nonenal,A2.pdb,34_4-hydroxy-2-nonenal.sdf,-5.39,281,4.661
A7_16_octanaldehyde,A7.pdb,16_octanaldehyde.sdf,-5.39,318,5.207
A6_7_glutaraldehyde,A6.pdb,7_glutaraldehyde.sdf,-5.39,466,3.166
A3_35_Cinnamaldehyde,A3.pdb,35_Cinnamaldehyde.sdf,-5.39,313,5.177
A2_28_Phenylacetaldehyde,A2.pdb,28_Phenylacetaldehyde.sdf,-5.39,282,5.468
A7_14_trans-2-Hexenal,A7.pdb,14_trans-2-Hexenal.sdf,-5.39,318,4.785
A7_18_decanal,A7.pdb,18_decanal.sdf,-5.39,318,4.908
A7_6_amylaldehyde,A7.pdb,6_amylaldehyde.sdf,-5.39,318,3.779
A7_35_Cinnamaldehyde,A7.pdb,35_Cinnamaldehyde.sdf,-5.39,318,3.684
A7_20_Citral,A7.pdb,20_Citral.sdf,-5.39,319,4.425
A6_9_2-hydroxypropionaldehyde,A6.pdb,9_2-hydroxypropionaldehyde.sdf,-5.39,466,3.172
A6_11_prop-2-enal,A6.pdb,11_prop-2-enal.sdf,-5.39,466,3.14
A1_32_9-cis-Retinal,A1.pdb,32_9-cis-Retinal.sdf,-5.38,126,8.035
A6_25_hexadecanal,A6.pdb,25_hexadecanal.sdf,-5.38,466,8.995
A2_51_6R-Tetrahydrofolic acid,A2.pdb,51_6R-Tetrahydrofolic acid.sdf,-5.38,281,5.429
A6_55_Ethanol,A6.pdb,55_Ethanol.sdf,-5.38,466,3.325
"A2_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A2.pdb,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal.sdf",-5.38,281,5.249
A7_13_(2E)-but-2-enal,A7.pdb,13_(2E)-but-2-enal.sdf,-5.38,318,4.255
A6_16_octanaldehyde,A6.pdb,16_octanaldehyde.sdf,-5.38,466,6.52
"A1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A1.pdb,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal.sdf",-5.38,302,5.02
A6_29_Salicylaldehyde,A6.pdb,29_Salicylaldehyde.sdf,-5.37,466,3.411
A6_28_Phenylacetaldehyde,A6.pdb,28_Phenylacetaldehyde.sdf,-5.37,466,5.19
A7_5_butyraldehyde,A7.pdb,5_butyraldehyde.sdf,-5.37,318,4.192
"A6_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",A6.pdb,"30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal.sdf",-5.37,466,5.935
A5_59_4-Hydroxynonenal_glutathione,A5.pdb,59_4-Hydroxynonenal_glutathione.sdf,-5.37,86,7.51
A3_42_Glutamate-5-semialdehyde,A3.pdb,42_Glutamate-5-semialdehyde.sdf,-5.37,314,4.783
A1_51_6R-Tetrahydrofolic acid,A1.pdb,51_6R-Tetrahydrofolic acid.sdf,-5.37,302,4.474
A1_16_octanaldehyde,A1.pdb,16_octanaldehyde.sdf,-5.37,163,17.681
A7_15_heptanal,A7.pdb,15_heptanal.sdf,-5.37,318,3.639
A1_33_11-cis-Retinol,A1.pdb,33_11-cis-Retinol.sdf,-5.37,126,7.921
A1_42_Glutamate-5-semialdehyde,A1.pdb,42_Glutamate-5-semialdehyde.sdf,-5.37,303,4.229
A6_47_methylmalonate semialdehyde,A6.pdb,47_methylmalonate semialdehyde.sdf,-5.37,466,3.282
A2_33_11-cis-Retinol,A2.pdb,33_11-cis-Retinol.sdf,-5.37,281,11.887
A3_33_11-cis-Retinol,A3.pdb,33_11-cis-Retinol.sdf,-5.37,313,8.886
A6_8_hexanal,A6.pdb,8_hexanal.sdf,-5.37,466,5.779
"A5_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",A5.pdb,"38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde.sdf",-5.37,86,7.697
A5_26_trans-2-hexadecenal,A5.pdb,26_trans-2-hexadecenal.sdf,-5.37,86,8.002
A4_34_4-hydroxy-2-nonenal,A4.pdb,34_4-hydroxy-2-nonenal.sdf,-5.37,318,3.547
A4_26_trans-2-hexadecenal,A4.pdb,26_trans-2-hexadecenal.sdf,-5.37,318,7.43
A6_27_Benzaldehyde,A6.pdb,27_Benzaldehyde.sdf,-5.37,466,3.566
A5_24_Tetradecanal,A5.pdb,24_Tetradecanal.sdf,-5.37,86,5.982
"A1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A1.pdb,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal.sdf",-5.37,126,7.807
A6_5_butyraldehyde,A6.pdb,5_butyraldehyde.sdf,-5.37,466,3.923
A6_35_Cinnamaldehyde,A6.pdb,35_Cinnamaldehyde.sdf,-5.37,466,6.035
A6_34_4-hydroxy-2-nonenal,A6.pdb,34_4-hydroxy-2-nonenal.sdf,-5.37,466,5.932
A6_20_Citral,A6.pdb,20_Citral.sdf,-5.36,466,6.218
A6_13_(2E)-but-2-enal,A6.pdb,13_(2E)-but-2-enal.sdf,-5.36,466,3.816
A6_14_trans-2-Hexenal,A6.pdb,14_trans-2-Hexenal.sdf,-5.36,466,7.124
A6_15_heptanal,A6.pdb,15_heptanal.sdf,-5.36,466,5.372
A7_49_2-Aminomuconic semialdehyde,A7.pdb,49_2-Aminomuconic semialdehyde.sdf,-5.36,318,4.405
A6_18_decanal,A6.pdb,18_decanal.sdf,-5.36,466,7.459
A6_23_4-Hydroxynonenal,A6.pdb,23_4-Hydroxynonenal.sdf,-5.36,466,6.669
A5_12_prop-2-ynal,A5.pdb,12_prop-2-ynal.sdf,-5.36,86,6.679
A5_25_hexadecanal,A5.pdb,25_hexadecanal.sdf,-5.35,86,6.822
A6_24_Tetradecanal,A6.pdb,24_Tetradecanal.sdf,-5.35,466,9.525
A6_19_dodecanal,A6.pdb,19_dodecanal.sdf,-5.35,466,8.614
A3_10_4-guanidinobutyraldehyde,A3.pdb,10_4-guanidinobutyraldehyde.sdf,-5.35,314,4.441
A4_59_4-Hydroxynonenal_glutathione,A4.pdb,59_4-Hydroxynonenal_glutathione.sdf,-5.35,179,17.489
"A3_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A3.pdb,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal.sdf",-5.34,313,9.709
A6_6_amylaldehyde,A6.pdb,6_amylaldehyde.sdf,-5.34,466,4.277
A7_33_11-cis-Retinol,A7.pdb,33_11-cis-Retinol.sdf,-5.34,318,8.589
A5_33_11-cis-Retinol,A5.pdb,33_11-cis-Retinol.sdf,-5.34,86,8.044
A6_36_3-(4-Isopropylphenyl)-2-methylpropanal,A6.pdb,36_3-(4-Isopropylphenyl)-2-methylpropanal.sdf,-5.34,466,4.302
A6_26_trans-2-hexadecenal,A6.pdb,26_trans-2-hexadecenal.sdf,-5.34,466,9.876
A6_17_nonanal,A6.pdb,17_nonanal.sdf,-5.33,466,6.306
A3_43_Glutamate-1-semialdehyde,A3.pdb,43_Glutamate-1-semialdehyde.sdf,-5.33,314,3.711
A6_22_trans-2-Octenal,A6.pdb,22_trans-2-Octenal.sdf,-5.33,466,7.417
A7_32_9-cis-Retinal,A7.pdb,32_9-cis-Retinal.sdf,-5.33,318,9.343
"A7_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A7.pdb,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal.sdf",-5.33,318,9.317
A2_41_Indole-3-acetaldehyde,A2.pdb,41_Indole-3-acetaldehyde.sdf,-5.33,281,5.111
A4_43_Glutamate-1-semialdehyde,A4.pdb,43_Glutamate-1-semialdehyde.sdf,-5.33,319,2.056
A1_40_Furan-2-carbaldehyde,A1.pdb,40_Furan-2-carbaldehyde.sdf,-5.31,163,17.594
A2_43_Glutamate-1-semialdehyde,A2.pdb,43_Glutamate-1-semialdehyde.sdf,-5.31,282,3.485
A3_41_Indole-3-acetaldehyde,A3.pdb,41_Indole-3-acetaldehyde.sdf,-5.31,174,17.443
A1_49_2-Aminomuconic semialdehyde,A1.pdb,49_2-Aminomuconic semialdehyde.sdf,-5.3,302,5.21
A5_52_Triose phosphate,A5.pdb,52_Triose phosphate.sdf,-5.3,86,11.875
A1_48_alpha-aminoadipate semialdehyde,A1.pdb,48_alpha-aminoadipate semialdehyde.sdf,-5.3,303,5.26
A6_32_9-cis-Retinal,A6.pdb,32_9-cis-Retinal.sdf,-5.3,466,11.091
A4_41_Indole-3-acetaldehyde,A4.pdb,41_Indole-3-acetaldehyde.sdf,-5.3,179,17.127
A7_40_Furan-2-carbaldehyde,A7.pdb,40_Furan-2-carbaldehyde.sdf,-5.29,319,16.727
A5_49_2-Aminomuconic semialdehyde,A5.pdb,49_2-Aminomuconic semialdehyde.sdf,-5.29,86,6.899
A3_48_alpha-aminoadipate semialdehyde,A3.pdb,48_alpha-aminoadipate semialdehyde.sdf,-5.28,313,5.83
A6_33_11-cis-Retinol,A6.pdb,33_11-cis-Retinol.sdf,-5.28,466,11.625
A5_50_10-formyltetrahydrofolate,A5.pdb,50_10-formyltetrahydrofolate.sdf,-5.27,86,5.938
A2_42_Glutamate-5-semialdehyde,A2.pdb,42_Glutamate-5-semialdehyde.sdf,-5.27,282,4.062
A5_51_6R-Tetrahydrofolic acid,A5.pdb,51_6R-Tetrahydrofolic acid.sdf,-5.27,86,5.277
A5_1_formaldehyde,A5.pdb,1_formaldehyde.sdf,-5.27,152,22.081
A2_39_4-nitrobenzaldehyde,A2.pdb,39_4-nitrobenzaldehyde.sdf,-5.27,281,5.998
A4_39_4-nitrobenzaldehyde,A4.pdb,39_4-nitrobenzaldehyde.sdf,-5.26,319,3.364
"A6_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",A6.pdb,"31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal.sdf",-5.26,466,12.603
A5_39_4-nitrobenzaldehyde,A5.pdb,39_4-nitrobenzaldehyde.sdf,-5.26,86,6.256
A1_41_Indole-3-acetaldehyde,A1.pdb,41_Indole-3-acetaldehyde.sdf,-5.25,163,17.235
A2_49_2-Aminomuconic semialdehyde,A2.pdb,49_2-Aminomuconic semialdehyde.sdf,-5.25,281,5.347
A1_10_4-guanidinobutyraldehyde,A1.pdb,10_4-guanidinobutyraldehyde.sdf,-5.24,163,17.935
A1_50_10-formyltetrahydrofolate,A1.pdb,50_10-formyltetrahydrofolate.sdf,-5.24,302,4.608
A1_39_4-nitrobenzaldehyde,A1.pdb,39_4-nitrobenzaldehyde.sdf,-5.24,163,17.138
A1_43_Glutamate-1-semialdehyde,A1.pdb,43_Glutamate-1-semialdehyde.sdf,-5.23,303,2.522
A3_49_2-Aminomuconic semialdehyde,A3.pdb,49_2-Aminomuconic semialdehyde.sdf,-5.23,313,5.482
A6_49_2-Aminomuconic semialdehyde,A6.pdb,49_2-Aminomuconic semialdehyde.sdf,-5.22,466,5.939
A3_40_Furan-2-carbaldehyde,A3.pdb,40_Furan-2-carbaldehyde.sdf,-5.22,314,17.061
A5_58_S-(4-oxobutan-2-yl)glutathione,A5.pdb,58_S-(4-oxobutan-2-yl)glutathione.sdf,-5.22,86,6.343
A2_10_4-guanidinobutyraldehyde,A2.pdb,10_4-guanidinobutyraldehyde.sdf,-5.21,282,4.513
A6_10_4-guanidinobutyraldehyde,A6.pdb,10_4-guanidinobutyraldehyde.sdf,-5.21,466,5.107
A6_42_Glutamate-5-semialdehyde,A6.pdb,42_Glutamate-5-semialdehyde.sdf,-5.21,466,5.408
A6_48_alpha-aminoadipate semialdehyde,A6.pdb,48_alpha-aminoadipate semialdehyde.sdf,-5.21,466,6.003
A6_59_4-Hydroxynonenal_glutathione,A6.pdb,59_4-Hydroxynonenal_glutathione.sdf,-5.21,421,9.622
A5_53_Pyridoxal phosphate,A5.pdb,53_Pyridoxal phosphate.sdf,-5.19,86,5.261
A6_39_4-nitrobenzaldehyde,A6.pdb,39_4-nitrobenzaldehyde.sdf,-5.19,466,6.724
A3_39_4-nitrobenzaldehyde,A3.pdb,39_4-nitrobenzaldehyde.sdf,-5.19,174,17.463
A1_53_Pyridoxal phosphate,A1.pdb,53_Pyridoxal phosphate.sdf,-5.18,163,16.906
A2_48_alpha-aminoadipate semialdehyde,A2.pdb,48_alpha-aminoadipate semialdehyde.sdf,-5.18,282,4.581
A6_51_6R-Tetrahydrofolic acid,A6.pdb,51_6R-Tetrahydrofolic acid.sdf,-5.18,421,12.22
A4_53_Pyridoxal phosphate,A4.pdb,53_Pyridoxal phosphate.sdf,-5.18,319,16.418
A6_43_Glutamate-1-semialdehyde,A6.pdb,43_Glutamate-1-semialdehyde.sdf,-5.17,466,6.734
A4_50_10-formyltetrahydrofolate,A4.pdb,50_10-formyltetrahydrofolate.sdf,-5.17,318,7.131
A5_48_alpha-aminoadipate semialdehyde,A5.pdb,48_alpha-aminoadipate semialdehyde.sdf,-5.17,86,7.375
A5_42_Glutamate-5-semialdehyde,A5.pdb,42_Glutamate-5-semialdehyde.sdf,-5.16,86,6.565
A5_43_Glutamate-1-semialdehyde,A5.pdb,43_Glutamate-1-semialdehyde.sdf,-5.16,86,7.025
A7_53_Pyridoxal phosphate,A7.pdb,53_Pyridoxal phosphate.sdf,-5.15,319,15.176
A4_40_Furan-2-carbaldehyde,A4.pdb,40_Furan-2-carbaldehyde.sdf,-5.14,319,18.259
A3_50_10-formyltetrahydrofolate,A3.pdb,50_10-formyltetrahydrofolate.sdf,-5.13,314,15.025
A3_53_Pyridoxal phosphate,A3.pdb,53_Pyridoxal phosphate.sdf,-5.11,314,14.185
A5_41_Indole-3-acetaldehyde,A5.pdb,41_Indole-3-acetaldehyde.sdf,-5.1,86,6.886
A3_51_6R-Tetrahydrofolic acid,A3.pdb,51_6R-Tetrahydrofolic acid.sdf,-5.08,314,16.41
A6_50_10-formyltetrahydrofolate,A6.pdb,50_10-formyltetrahydrofolate.sdf,-5.08,421,11.635
A6_53_Pyridoxal phosphate,A6.pdb,53_Pyridoxal phosphate.sdf,-5.05,421,12.859
A5_10_4-guanidinobutyraldehyde,A5.pdb,10_4-guanidinobutyraldehyde.sdf,-5.01,86,6.082
